
"KS102EW - Age structure"
"ONS Crown Copyright Reserved [from Nomis on 8 June 2020]"
"Population :","All usual residents"
"Units      :","Persons"
"Date       :","2011"
"Rural Urban:","Total"

"2011 output area","mnemonic","Age 0 to 4","Age 5 to 7","Age 8 to 9","Age 10 to 14","Age 15","Age 16 to 17","Age 18 to 19","Age 20 to 24","Age 25 to 29","Age 30 to 44","Age 45 to 59","Age 60 to 64","Age 65 to 74","Age 75 to 84","Age 85 to 89","Age 90 and over"
"E00014487","E00014487",7.6,3.2,2.2,4.3,0.4,0.0,0.7,6.9,10.5,28.9,20.6,4.3,7.2,2.2,1.1,0.0
"E00014488","E00014488",5.2,4.3,2.4,4.3,1.0,1.0,1.4,4.3,12.4,37.1,18.1,1.9,4.8,1.0,0.5,0.5
"E00014489","E00014489",8.3,4.4,2.0,2.0,1.0,0.0,1.5,4.4,6.9,32.4,23.5,4.4,6.9,2.0,0.5,0.0
"E00014491","E00014491",6.4,2.6,0.8,1.5,0.0,0.0,1.1,3.4,17.4,32.8,8.3,5.7,13.2,5.3,1.1,0.4
"E00014493","E00014493",5.6,3.5,0.9,2.2,0.9,1.7,1.3,2.2,10.8,35.9,21.2,1.7,5.6,4.3,1.3,0.9
"E00014499","E00014499",5.3,4.3,0.5,3.7,0.0,1.6,1.1,4.8,6.4,25.1,24.1,5.9,10.7,5.3,1.1,0.0
"E00014155","E00014155",4.4,1.1,0.0,0.5,0.5,0.5,0.5,4.9,22.5,37.9,13.7,7.7,2.2,2.7,0.5,0.0
"E00014156","E00014156",5.9,4.3,1.1,3.2,0.5,0.5,0.5,1.6,16.0,34.6,15.4,6.4,3.2,3.7,0.5,2.7
"E00014158","E00014158",8.8,0.6,0.6,1.1,0.6,0.0,0.6,2.2,12.2,37.0,20.4,7.2,6.1,1.7,0.6,0.6
"E00014159","E00014159",4.4,4.4,1.6,2.7,0.0,1.1,2.2,2.2,12.1,32.4,21.4,6.6,6.6,2.2,0.0,0.0
"E00014160","E00014160",5.4,5.9,2.0,4.9,1.5,1.5,0.0,2.9,11.7,29.8,23.4,2.4,6.3,1.5,1.0,0.0
"E00014161","E00014161",4.4,3.6,2.4,4.4,0.4,1.2,1.6,6.8,10.8,30.7,20.7,6.0,4.4,2.0,0.8,0.0
"E00014180","E00014180",3.7,3.0,2.2,5.5,1.1,1.1,1.8,4.4,17.0,33.6,16.2,3.3,3.7,3.0,0.4,0.0
"E00014408","E00014408",10.4,2.8,0.9,5.2,0.5,0.9,1.4,3.3,9.5,34.1,16.6,5.2,5.7,1.4,1.4,0.5
"E00014409","E00014409",9.7,3.9,1.3,2.9,1.6,0.3,1.3,3.9,8.7,25.5,21.6,5.2,8.7,3.9,0.6,1.0
"E00014410","E00014410",5.4,3.7,3.0,4.7,0.0,1.3,1.7,2.7,9.1,39.1,14.5,5.1,7.1,2.0,0.3,0.3
"E00014421","E00014421",5.8,2.5,2.9,3.2,1.4,1.8,2.9,2.5,5.0,27.0,24.8,3.6,14.0,2.2,0.0,0.4
"E00014426","E00014426",8.3,3.0,3.6,3.3,0.3,1.7,2.3,5.3,8.3,27.8,16.6,7.9,6.6,2.3,1.7,1.0
"E00014428","E00014428",8.4,3.8,2.8,5.6,1.0,1.4,0.7,3.8,5.9,25.8,22.6,5.9,7.0,4.5,0.7,0.0
"E00014407","E00014407",7.3,3.0,1.3,5.6,1.7,2.6,0.0,5.2,6.9,33.6,21.1,3.4,6.9,1.3,0.0,0.0
"E00014424","E00014424",8.0,3.2,2.4,6.0,0.8,1.2,2.8,5.2,5.2,20.8,19.6,3.2,13.2,6.8,1.6,0.0
"E00014427","E00014427",6.8,2.0,2.4,5.8,0.7,2.4,1.0,3.8,8.9,16.7,25.6,8.5,9.6,4.4,1.0,0.3
"E00014429","E00014429",4.0,2.9,2.9,5.1,0.0,1.1,2.9,5.8,6.9,28.0,25.1,8.4,5.1,1.5,0.4,0.0
"E00014430","E00014430",6.0,2.1,1.8,5.0,0.7,2.1,1.4,2.8,11.7,33.8,14.9,5.7,8.9,1.1,1.4,0.4
"E00014431","E00014431",8.9,1.8,1.1,1.8,1.1,0.4,1.1,11.1,18.2,31.4,15.0,2.1,4.6,0.7,0.0,0.7
"E00014432","E00014432",6.3,2.4,3.6,3.2,0.8,2.8,0.4,7.5,15.4,31.2,13.8,5.1,6.7,0.4,0.0,0.4
"E00014433","E00014433",3.5,2.8,1.4,4.2,0.7,2.1,1.0,9.0,15.2,30.1,14.2,3.5,8.0,3.8,0.7,0.0
"E00014434","E00014434",7.3,2.6,3.5,11.2,1.0,2.9,1.3,3.5,7.0,19.8,24.6,6.7,5.4,2.6,0.3,0.3
"E00014435","E00014435",7.6,3.3,3.6,7.2,1.6,2.6,1.3,10.5,10.9,19.7,20.7,5.3,3.6,1.3,0.3,0.3
"E00014411","E00014411",5.3,2.9,2.9,4.1,0.4,0.8,0.4,5.7,13.9,21.6,18.8,6.9,10.2,5.7,0.4,0.0
"E00014416","E00014416",6.0,1.9,1.4,6.0,0.5,0.9,1.9,6.0,6.9,21.8,27.3,6.9,6.5,5.6,0.0,0.5
"E00014417","E00014417",5.7,5.7,2.3,4.9,0.8,2.7,0.8,6.1,6.8,20.5,21.7,7.2,9.1,4.6,0.0,1.1
"E00014420","E00014420",2.7,1.3,1.3,3.1,0.9,0.4,0.4,5.8,8.8,19.0,20.4,6.2,12.4,11.5,3.1,2.7
"E00014436","E00014436",7.3,0.8,4.2,4.2,0.4,1.2,2.7,5.0,10.0,25.8,18.8,9.6,6.2,3.5,0.4,0.0
"E00014437","E00014437",6.7,2.2,1.1,3.4,0.0,0.0,1.1,6.2,12.9,30.9,12.4,5.1,12.9,4.5,0.6,0.0
"E00014120","E00014120",7.8,4.7,0.4,5.2,0.0,0.9,0.9,3.0,8.6,36.6,12.9,4.3,8.2,4.7,0.9,0.9
"E00014121","E00014121",6.5,8.8,2.8,2.3,0.5,0.5,0.9,4.1,7.4,35.0,15.7,9.2,4.6,0.5,0.9,0.5
"E00014125","E00014125",4.9,4.2,2.3,3.9,1.6,1.6,2.0,7.8,12.4,20.8,22.1,6.2,6.8,2.3,0.7,0.3
"E00014127","E00014127",6.6,4.8,0.9,5.2,0.4,2.6,0.0,1.7,7.0,34.5,21.0,6.6,4.8,2.6,0.9,0.4
"E00014130","E00014130",6.1,3.6,3.6,2.2,0.4,0.0,0.0,9.0,16.9,33.5,10.8,2.5,8.6,1.8,1.1,0.0
"E00014132","E00014132",7.0,3.5,2.7,3.9,0.0,0.0,0.4,2.0,11.3,42.6,13.7,4.3,6.2,1.2,0.8,0.4
"E00014122","E00014122",9.3,3.7,3.1,3.7,0.0,0.0,0.6,3.7,4.9,34.6,13.6,6.2,10.5,3.7,1.2,1.2
"E00014123","E00014123",7.8,3.8,1.3,3.1,0.3,0.9,0.3,4.1,8.2,30.4,18.5,7.5,10.0,2.8,0.6,0.3
"E00014124","E00014124",7.7,4.5,2.6,3.4,0.8,2.1,1.9,3.4,4.8,24.3,17.7,6.1,10.3,7.1,1.3,1.9
"E00014126","E00014126",7.7,3.2,0.6,5.8,0.3,1.9,2.6,8.9,6.1,23.6,22.7,6.4,6.4,2.6,0.6,0.6
"E00014129","E00014129",8.7,2.9,3.2,4.4,0.0,1.5,0.3,4.4,7.0,27.3,18.0,7.8,8.7,4.7,0.6,0.6
"E00014135","E00014135",5.9,4.2,1.4,3.8,0.5,3.1,5.4,11.3,6.8,28.9,16.5,3.3,4.7,3.8,0.5,0.0
"E00014118","E00014118",7.7,2.1,1.0,1.4,0.0,1.4,3.8,11.2,11.9,31.8,16.8,5.6,2.8,2.1,0.0,0.3
"E00014128","E00014128",5.4,1.5,0.5,1.5,0.0,2.0,1.0,5.4,15.8,25.1,11.8,9.9,8.9,9.9,0.0,1.5
"E00014131","E00014131",3.5,2.3,0.0,1.2,0.0,0.0,2.9,4.0,13.9,26.0,14.5,5.2,11.0,10.4,2.9,2.3
"E00014133","E00014133",8.8,3.1,1.3,1.8,0.9,1.8,0.4,5.3,16.4,32.7,11.5,5.3,6.6,2.7,0.9,0.4
"E00014134","E00014134",5.0,0.5,2.5,0.5,0.5,0.0,3.0,7.0,13.0,34.0,16.0,6.5,7.5,3.0,1.0,0.0
"E00014136","E00014136",6.8,4.5,0.9,4.1,0.0,1.4,0.0,5.9,13.6,33.5,13.1,4.1,5.9,4.1,1.8,0.5
"E00014137","E00014137",7.4,3.7,2.5,0.4,0.0,1.2,1.2,3.7,6.6,34.7,17.8,5.4,10.7,4.1,0.4,0.0
"E00014117","E00014117",7.6,3.8,2.7,5.3,1.1,0.0,1.9,6.1,3.1,23.3,21.4,8.8,9.9,3.8,0.4,0.8
"E00014138","E00014138",8.1,4.7,2.5,4.3,0.3,1.9,1.2,6.2,9.0,31.1,21.4,3.1,3.1,2.5,0.3,0.3
"E00014139","E00014139",0.6,0.0,0.6,0.6,0.0,0.0,1.2,10.5,16.7,35.2,21.6,3.7,4.3,2.5,1.2,1.2
"E00014142","E00014142",6.7,1.8,0.4,1.3,0.0,0.9,0.0,4.9,18.3,41.1,11.6,6.2,4.0,1.8,0.9,0.0
"E00014144","E00014144",10.7,3.9,0.9,1.7,0.0,1.3,3.0,5.2,7.3,27.5,16.3,5.6,9.0,3.9,1.7,2.1
"E00014145","E00014145",7.3,2.0,0.5,2.0,0.0,1.5,0.5,3.9,13.7,33.2,16.6,5.9,7.3,4.4,1.5,0.0
"E00014147","E00014147",7.3,2.6,3.6,2.1,1.6,0.0,0.5,4.7,10.4,31.8,25.0,5.2,2.6,2.1,0.5,0.0
"E00014148","E00014148",14.9,3.8,1.3,0.4,0.0,1.3,1.3,3.8,9.8,31.9,13.6,5.1,7.7,3.8,0.9,0.4
"E00014119","E00014119",8.1,4.4,3.1,4.7,0.6,2.8,2.8,2.8,6.2,22.7,22.7,5.6,7.8,4.0,0.9,0.6
"E00014140","E00014140",4.2,1.9,0.9,2.4,0.0,0.0,0.9,7.5,22.2,35.4,15.1,2.8,5.7,0.5,0.5,0.0
"E00014141","E00014141",6.7,5.5,1.3,1.7,0.4,0.4,0.8,2.9,6.3,26.9,16.8,10.9,11.8,5.9,1.3,0.4
"E00014143","E00014143",6.1,1.0,1.0,2.6,0.0,0.0,0.5,5.1,13.8,42.9,13.8,6.1,3.1,2.0,1.0,1.0
"E00014146","E00014146",6.3,2.9,1.1,1.1,0.0,0.0,0.0,6.9,8.0,24.6,20.0,7.4,12.0,6.3,1.7,1.7
"E00014149","E00014149",3.2,3.2,0.5,2.1,1.6,0.5,2.1,3.7,5.8,24.2,26.3,5.3,10.5,6.8,3.7,0.5
"E00014377","E00014377",3.2,2.2,1.9,7.9,0.9,1.6,2.2,6.3,3.5,17.4,22.8,6.6,13.6,6.6,2.2,0.9
"E00014384","E00014384",7.9,5.5,0.9,5.8,1.2,0.6,0.3,3.3,6.7,23.0,17.6,6.4,12.7,5.8,1.8,0.6
"E00014390","E00014390",7.3,4.4,2.5,10.8,1.0,3.5,2.2,3.2,2.9,19.4,22.5,3.8,7.6,5.1,1.9,1.9
"E00014392","E00014392",7.9,3.9,4.7,8.7,1.2,1.6,0.8,2.4,4.3,28.0,18.5,3.5,5.9,5.5,2.0,1.2
"E00014393","E00014393",8.1,3.9,3.5,7.4,0.4,1.8,1.1,8.1,4.6,20.7,23.9,5.3,6.7,4.2,0.0,0.7
"E00014378","E00014378",5.2,3.1,5.5,3.1,1.0,0.3,0.5,3.1,13.3,36.8,14.6,6.3,6.0,1.0,0.0,0.0
"E00014381","E00014381",7.2,1.7,2.1,4.6,0.4,0.8,1.7,9.3,10.5,33.3,20.7,3.8,2.5,1.3,0.0,0.0
"E00014386","E00014386",4.5,2.4,2.1,5.4,0.6,1.2,1.2,6.0,13.8,33.5,18.9,3.0,5.4,1.2,0.3,0.6
"E00014387","E00014387",4.6,4.3,3.1,9.2,1.2,1.2,2.2,4.9,3.7,23.7,26.5,6.2,5.2,2.8,0.6,0.6
"E00014388","E00014388",5.9,2.3,1.8,2.3,0.5,0.0,1.8,13.1,17.2,28.5,14.9,3.6,5.4,0.9,1.8,0.0
"E00014394","E00014394",3.7,2.9,1.2,5.3,1.2,2.9,2.9,8.6,13.9,27.9,22.1,2.5,4.5,0.4,0.0,0.0
"E00014375","E00014375",7.8,4.3,3.5,10.6,0.4,2.2,2.4,7.1,8.2,29.0,17.3,3.2,2.4,1.3,0.2,0.0
"E00014376","E00014376",3.3,0.9,0.3,3.0,0.3,0.0,1.5,8.2,17.6,38.2,16.4,3.6,3.6,0.9,1.8,0.3
"E00014395","E00014395",4.7,2.3,0.5,1.9,0.5,0.0,0.5,7.9,20.1,36.9,15.9,4.7,2.8,0.5,0.5,0.5
"E00014396","E00014396",8.7,4.2,2.4,2.8,0.3,1.4,2.8,8.4,11.8,24.4,13.6,4.9,8.0,5.6,0.0,0.7
"E00014397","E00014397",5.0,2.5,3.0,6.2,0.5,2.2,0.8,8.0,11.5,37.2,17.5,2.0,3.0,0.5,0.0,0.0
"E00014398","E00014398",5.6,3.5,0.3,2.8,1.0,2.4,0.3,8.3,11.1,28.1,17.7,4.5,8.0,4.5,1.4,0.3
"E00014380","E00014380",11.9,2.6,1.1,3.0,0.7,1.9,0.7,1.9,3.3,25.7,17.1,7.8,14.5,5.6,1.9,0.4
"E00014382","E00014382",8.6,5.0,5.5,8.1,0.0,2.4,0.5,2.9,4.3,21.9,18.5,6.4,9.5,4.0,1.9,0.7
"E00014383","E00014383",4.3,2.9,0.7,2.5,0.4,0.0,1.1,4.3,7.6,28.8,20.1,7.9,10.1,4.3,2.9,2.2
"E00014399","E00014399",5.0,2.3,3.2,2.7,0.0,1.8,0.9,12.7,10.9,29.1,15.5,6.8,5.5,1.8,1.4,0.5
"E00014400","E00014400",5.1,3.9,1.6,1.9,0.0,1.9,2.3,2.3,7.4,35.8,17.9,7.8,7.8,3.9,0.4,0.0
"E00014401","E00014401",6.8,1.4,0.5,1.4,0.5,0.5,3.4,9.2,8.7,27.5,24.6,6.3,5.8,2.9,0.0,0.5
"E00014372","E00014372",5.0,1.3,1.7,2.5,0.0,0.4,1.3,5.4,8.8,32.6,17.6,7.9,10.9,2.9,0.8,0.8
"E00014373","E00014373",3.8,1.6,1.1,2.7,0.0,1.1,1.6,3.2,11.8,42.5,18.3,3.8,5.9,1.6,0.0,1.1
"E00014402","E00014402",6.9,5.2,1.3,4.7,2.2,1.7,3.0,6.9,7.8,25.4,22.8,3.9,3.9,3.4,0.0,0.9
"E00014403","E00014403",5.5,2.8,3.7,5.5,0.0,0.5,0.5,2.8,10.6,30.0,15.2,4.1,12.4,5.1,0.9,0.5
"E00014404","E00014404",5.2,5.2,3.7,5.5,0.4,1.1,1.8,4.1,17.7,31.0,11.8,5.5,4.1,1.8,0.7,0.4
"E00014405","E00014405",5.0,1.9,3.1,1.9,1.2,0.6,0.0,3.1,19.4,40.6,10.6,5.0,3.8,3.8,0.0,0.0
"E00014406","E00014406",2.0,3.0,2.5,7.4,1.5,0.5,0.5,6.9,10.4,35.1,17.8,7.4,4.5,0.5,0.0,0.0
"E00014508","E00014508",4.3,1.4,0.5,3.3,0.0,0.5,1.0,7.7,19.1,26.8,12.4,4.8,11.0,5.3,1.4,0.5
"E00014509","E00014509",3.7,2.5,1.2,2.5,0.0,0.4,1.7,11.6,14.5,37.6,13.2,3.3,3.3,3.3,0.8,0.4
"E00014510","E00014510",0.5,0.0,0.5,0.5,0.0,0.0,3.1,11.9,20.7,33.7,12.4,4.7,6.7,2.1,1.6,1.6
"E00014511","E00014511",5.4,2.0,1.5,2.5,0.5,0.5,2.0,13.7,17.6,39.7,9.3,2.0,3.4,0.0,0.0,0.0
"E00014514","E00014514",6.1,4.1,3.4,5.7,0.0,2.0,1.0,5.4,9.1,27.4,22.3,5.1,4.4,3.0,0.7,0.3
"E00014535","E00014535",4.7,2.3,0.0,1.9,0.0,0.4,1.2,9.7,23.3,35.0,9.3,5.1,3.1,3.1,0.4,0.4
"E00014518","E00014518",2.4,0.8,1.6,2.4,0.8,0.0,0.8,14.4,13.6,35.2,13.6,5.6,6.4,2.4,0.0,0.0
"E00014519","E00014519",1.1,2.2,1.4,3.6,0.4,0.7,23.8,15.9,1.1,14.8,13.0,4.7,6.5,7.6,1.4,1.8
"E00014520","E00014520",5.1,0.0,0.0,1.4,0.0,0.5,1.9,16.2,11.6,32.4,17.6,2.8,3.7,4.6,0.5,1.9
"E00014526","E00014526",9.0,2.6,2.6,3.9,0.9,1.7,1.7,2.6,7.3,36.9,17.6,3.4,6.4,2.1,1.3,0.0
"E00014530","E00014530",12.7,2.8,4.4,3.6,0.0,0.4,0.0,2.8,5.6,26.7,18.3,6.4,9.6,4.8,0.8,1.2
"E00014531","E00014531",5.1,1.1,0.0,0.6,0.0,0.6,2.3,7.9,7.9,39.5,22.6,4.0,4.5,2.8,1.1,0.0
"E00014523","E00014523",6.2,5.4,3.8,5.2,1.9,1.6,3.8,3.3,3.8,25.0,20.9,7.3,6.5,2.4,1.4,1.4
"E00014524","E00014524",8.0,4.7,2.6,6.9,1.8,1.5,1.1,3.3,3.6,27.7,17.5,4.4,9.5,4.4,1.5,1.5
"E00014532","E00014532",3.8,3.1,3.4,6.1,2.3,3.1,1.9,1.5,6.1,26.3,22.1,5.7,9.5,3.8,0.8,0.4
"E00014537","E00014537",9.5,8.7,1.2,5.8,1.2,2.0,0.6,2.9,4.0,24.6,18.8,8.1,7.2,3.5,0.6,1.4
"E00014538","E00014538",10.3,8.9,4.3,5.3,0.0,1.4,0.4,3.6,4.3,27.8,18.9,3.9,6.0,4.3,0.4,0.4
"E00014539","E00014539",6.4,5.7,2.5,5.0,1.1,0.4,1.8,4.3,3.9,24.6,19.9,7.1,9.6,5.0,1.4,1.4
"E00014507","E00014507",6.2,3.8,2.8,5.2,1.4,1.7,2.1,4.8,5.9,32.1,20.7,3.1,7.2,3.1,0.0,0.0
"E00014521","E00014521",4.6,6.2,2.5,4.6,0.4,0.4,2.1,8.3,9.2,29.2,19.6,4.6,5.0,2.5,0.8,0.0
"E00014522","E00014522",5.4,2.9,1.5,4.9,0.0,1.0,1.5,7.8,12.3,26.0,20.1,6.4,7.4,2.0,0.5,0.5
"E00014525","E00014525",9.1,2.9,2.6,2.9,0.4,1.5,0.4,7.3,10.6,41.6,10.6,4.7,2.6,1.8,1.1,0.0
"E00014528","E00014528",7.0,2.9,2.2,3.3,0.4,0.7,1.5,8.5,10.3,27.2,19.9,6.2,6.2,2.9,0.7,0.0
"E00014529","E00014529",2.4,0.0,0.6,1.8,0.6,0.0,1.8,21.1,13.9,34.3,16.3,3.0,3.0,1.2,0.0,0.0
"E00014512","E00014512",7.6,4.3,1.1,2.9,0.4,0.4,1.4,12.2,11.9,34.9,15.8,2.2,2.9,1.4,0.4,0.4
"E00014527","E00014527",7.8,3.2,1.8,3.7,1.4,1.4,0.9,8.3,11.0,30.7,15.6,9.2,4.1,0.9,0.0,0.0
"E00014533","E00014533",6.8,2.5,1.1,4.3,0.7,1.4,0.4,17.5,8.6,34.6,12.1,3.2,3.6,2.9,0.4,0.0
"E00014534","E00014534",4.2,2.8,0.0,1.4,0.7,0.7,3.1,19.2,12.2,30.3,15.0,3.5,4.5,2.1,0.3,0.0
"E00014536","E00014536",7.8,1.2,1.2,1.6,0.0,0.8,0.4,19.1,8.6,40.1,14.4,1.6,3.1,0.4,0.0,0.0
"E00014540","E00014540",6.9,3.9,1.2,2.3,0.0,1.5,3.5,10.4,15.8,34.4,11.6,4.2,4.2,0.0,0.0,0.0
"E00014541","E00014541",7.1,4.0,0.8,1.2,0.0,2.4,0.4,7.1,11.5,33.3,18.7,5.6,4.4,3.6,0.0,0.0
"E00014044","E00014044",9.3,5.2,2.4,5.2,0.0,0.7,2.1,3.1,5.9,25.9,18.3,6.9,10.3,4.1,0.3,0.3
"E00014045","E00014045",5.2,2.4,2.4,5.2,0.7,1.0,1.7,4.8,11.8,23.5,20.1,5.2,10.7,4.2,1.0,0.0
"E00014047","E00014047",7.6,2.3,1.1,1.9,0.0,0.4,0.8,8.0,9.1,33.3,16.7,7.6,6.8,2.7,1.9,0.0
"E00014049","E00014049",4.0,0.7,0.3,1.7,0.3,0.3,1.0,5.0,17.5,39.3,10.6,4.6,7.9,5.0,1.0,1.0
"E00014067","E00014067",8.9,7.4,3.8,4.4,0.9,0.6,0.6,5.3,6.8,32.8,18.6,3.6,2.7,2.7,0.3,0.6
"E00014070","E00014070",8.1,3.5,2.5,3.9,0.0,0.7,2.1,3.2,13.1,26.9,19.1,4.9,6.7,3.2,1.1,1.1
"E00014052","E00014052",1.5,0.8,1.1,3.4,0.4,1.1,2.7,12.2,13.4,29.4,17.2,5.0,6.5,3.4,0.8,1.1
"E00014053","E00014053",6.7,2.7,1.8,1.8,0.0,0.4,1.8,12.0,11.6,43.1,11.6,1.8,3.6,1.3,0.0,0.0
"E00014054","E00014054",6.4,2.0,0.5,2.5,0.0,0.5,2.0,8.3,13.2,34.3,15.7,4.9,5.4,2.0,0.5,2.0
"E00014055","E00014055",6.6,2.7,2.3,5.0,0.8,0.8,1.5,8.1,9.7,18.1,22.8,6.2,8.1,4.2,2.3,0.8
"E00014057","E00014057",7.2,4.8,1.4,0.5,0.5,1.4,1.0,6.7,13.9,34.9,15.8,2.4,4.8,3.3,1.4,0.0
"E00014077","E00014077",10.2,2.3,1.1,2.3,0.4,0.0,0.4,6.0,13.6,34.7,15.5,2.3,3.8,4.2,2.6,0.8
"E00014043","E00014043",3.7,1.2,0.0,0.8,0.0,0.4,1.7,14.5,13.3,32.0,15.4,6.6,5.8,2.9,0.8,0.8
"E00014061","E00014061",9.5,2.8,0.7,3.9,1.1,2.5,0.7,6.0,12.0,22.6,19.1,7.8,6.0,2.8,1.4,1.1
"E00014063","E00014063",0.7,0.4,0.0,0.4,0.0,0.0,0.7,12.5,23.5,41.6,10.7,4.6,3.2,1.1,0.4,0.4
"E00014064","E00014064",6.3,3.0,2.6,5.0,0.3,1.3,1.3,3.3,7.0,23.5,15.9,7.0,6.0,8.9,4.3,4.3
"E00014066","E00014066",6.9,5.2,2.0,5.2,0.8,1.6,1.2,3.6,6.0,21.0,19.8,5.6,10.1,8.1,2.0,0.8
"E00014056","E00014056",6.1,2.2,0.9,3.1,0.9,2.2,0.4,7.0,11.4,31.1,13.2,8.3,7.0,4.8,0.0,1.3
"E00014062","E00014062",7.2,4.5,1.0,2.1,0.7,1.4,0.3,7.9,8.6,27.8,15.1,6.2,11.0,3.4,2.1,0.7
"E00014065","E00014065",3.2,2.8,0.5,3.7,0.0,0.9,0.5,6.4,12.4,36.7,21.6,5.5,4.1,1.4,0.0,0.5
"E00014068","E00014068",5.1,4.3,2.3,4.3,1.6,2.3,0.8,6.6,8.6,21.0,19.8,5.8,12.1,2.7,2.3,0.4
"E00014072","E00014072",6.9,2.8,1.6,6.0,0.9,2.5,0.3,4.1,3.5,17.7,27.1,9.5,6.3,7.9,0.9,1.9
"E00014076","E00014076",8.1,3.9,3.2,6.0,1.8,1.8,1.8,3.5,3.5,15.5,22.6,8.5,9.2,7.1,1.8,1.8
"E00014374","E00014374",5.7,3.2,3.5,11.0,1.9,4.1,1.9,5.7,1.9,19.9,24.6,9.5,5.0,1.3,0.3,0.6
"E00014379","E00014379",5.7,6.6,4.4,7.6,0.9,5.1,1.6,2.8,3.5,20.9,27.5,7.6,3.2,1.6,0.3,0.6
"E00014385","E00014385",9.4,4.1,2.4,4.5,0.4,2.4,2.0,3.3,4.9,27.3,22.0,6.1,4.9,4.1,0.4,1.6
"E00014389","E00014389",12.0,4.5,1.0,3.1,0.3,0.3,1.0,5.5,6.5,35.1,18.2,4.1,4.1,3.8,0.3,0.0
"E00014391","E00014391",7.0,3.7,1.4,2.8,0.9,0.5,2.8,5.1,5.1,25.2,18.2,4.7,10.7,6.5,3.7,1.4
"E00014083","E00014083",8.4,2.6,0.0,0.0,0.0,0.0,1.9,8.4,9.7,24.7,21.4,7.1,8.4,2.6,4.5,0.0
"E00014084","E00014084",4.3,3.3,0.7,3.0,0.0,0.3,4.3,14.6,14.6,27.2,10.0,5.3,8.0,3.0,1.0,0.3
"E00014085","E00014085",3.7,2.6,1.6,1.6,0.5,0.5,2.6,5.2,8.9,44.0,13.1,7.3,5.8,1.6,1.0,0.0
"E00014086","E00014086",8.2,4.4,0.3,1.4,1.1,0.3,1.9,5.7,6.8,37.2,12.8,6.3,7.9,3.6,1.9,0.3
"E00014087","E00014087",3.6,2.9,2.1,2.9,0.0,0.0,4.3,10.7,13.6,27.1,18.6,3.2,6.4,3.6,0.0,1.1
"E00014092","E00014092",3.2,1.6,0.8,2.0,0.0,0.8,0.8,6.8,12.8,38.4,14.0,7.6,6.4,2.4,0.8,1.6
"E00014095","E00014095",3.7,1.4,0.9,1.8,0.0,0.5,2.8,10.1,19.3,30.3,11.0,4.6,9.2,4.1,0.5,0.0
"E00014096","E00014096",3.7,2.5,1.2,2.5,0.0,0.4,0.4,11.6,10.3,25.2,21.5,7.4,7.4,5.0,0.8,0.0
"E00014088","E00014088",1.6,2.1,2.6,3.2,1.6,1.6,1.6,14.2,11.6,28.4,13.2,3.7,8.9,5.8,0.0,0.0
"E00014089","E00014089",3.1,0.4,0.0,1.2,0.0,0.0,5.8,20.2,12.0,32.9,13.2,5.8,3.1,1.6,0.8,0.0
"E00014090","E00014090",3.2,2.7,1.4,4.1,0.0,0.9,2.3,7.8,10.0,38.8,15.1,1.8,8.2,2.3,0.9,0.5
"E00014091","E00014091",9.4,3.1,2.0,3.1,0.4,0.4,1.2,7.8,8.2,26.3,16.5,3.9,9.8,5.5,2.4,0.0
"E00014093","E00014093",6.2,5.0,1.2,3.7,0.8,2.1,1.2,10.8,12.0,24.1,18.7,4.6,6.2,3.3,0.0,0.0
"E00014097","E00014097",5.4,4.1,0.9,2.3,0.0,0.0,0.9,6.8,10.9,35.7,14.5,5.9,9.5,1.8,1.4,0.0
"E00014098","E00014098",5.4,2.5,2.5,4.0,0.0,0.0,1.5,6.4,8.4,27.7,19.3,5.0,9.9,3.5,2.5,1.5
"E00014339","E00014339",2.7,1.6,1.1,1.1,0.0,0.0,0.5,9.7,14.6,27.6,22.2,9.2,7.6,1.6,0.5,0.0
"E00014342","E00014342",6.2,1.4,1.0,0.5,0.0,0.5,0.5,9.0,15.7,39.0,13.8,4.8,4.8,2.4,0.0,0.5
"E00014347","E00014347",6.0,1.6,1.9,1.3,0.3,1.0,0.0,4.8,17.1,38.1,11.7,4.8,6.3,3.5,0.3,1.3
"E00014363","E00014363",3.6,4.1,1.0,4.6,1.5,3.6,0.5,4.1,6.6,24.0,27.6,5.1,8.2,3.1,1.5,1.0
"E00014367","E00014367",10.2,3.6,2.2,4.9,0.9,0.4,0.9,3.6,7.1,30.7,20.9,3.6,6.7,3.6,0.9,0.0
"E00014368","E00014368",7.3,3.4,1.5,3.4,0.8,1.5,0.4,5.0,10.7,24.1,24.5,6.1,8.4,2.3,0.0,0.4
"E00014371","E00014371",5.1,3.8,2.5,5.5,0.4,1.3,1.3,3.8,10.2,22.5,25.4,4.7,7.6,3.4,2.1,0.4
"E00014338","E00014338",7.9,4.4,1.0,1.5,0.5,1.0,3.0,6.9,7.4,22.2,26.1,5.9,8.4,3.4,0.0,0.5
"E00014358","E00014358",8.0,3.2,0.5,2.1,0.0,0.0,0.5,6.9,11.7,29.3,15.4,5.9,11.7,3.7,0.5,0.5
"E00014361","E00014361",2.7,2.7,0.9,0.0,0.0,0.9,0.5,10.8,16.7,32.0,12.2,7.7,9.0,3.6,0.5,0.0
"E00014362","E00014362",7.1,3.1,1.6,3.5,0.8,0.4,0.8,5.5,7.1,22.4,20.9,9.1,10.6,6.3,0.4,0.4
